@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@DATA
Positive,1.04279,0.946474,0.148944,-0.679941,-0.857609,-0.320773,-0.21103,-0.235473,-0.193176,-0.159439,-0.315784,0.389165,0.410857,-0.129314,2.39161,0.4377,-1.76948,-1.48994,-1.54891,-1.14205,-1.00013,-0.765376,-0.485815,-0.0901428,0.655466,1.32899,-0.241574,2.09484,0.301894,-1.64955,-1.64726,-1.66141,-0.744977,-0.653844,-0.101044,-0.0679376,-0.179689,0.496632,0.308548,-0.534372,1.88734,-0.58028,-1.90075,-0.947814,-0.45223,0.194498,0.20729,-0.00528771,-0.100839,-0.196739,0.841452,1.6248
Positive,-0.548882,-0.019907,-0.90202,-0.328178,0.40901,0.357274,0.898561,1.10699,0.0441462,-0.178939,-0.0419342,1.02186,-0.978663,-0.219702,1.13573,-0.156887,-1.23098,-0.778763,0.0464964,-0.406558,0.115385,-0.316089,-0.294179,-0.258148,0.62653,-0.0339374,-0.241574,0.151981,1.1929,0.624816,0.00307133,-1.15712,-1.21924,-1.45516,-1.39642,-0.247958,-0.26423,-3.29204,-0.974656,-0.534372,1.00647,0.531712,-0.292786,-0.418838,-1.19961,-0.0584915,-0.622004,-0.537312,-0.378106,-0.287026,-0.432268,-0.726714
Positive,-0.548882,0.386454,0.549062,-0.557759,-0.274659,-0.454173,-0.275549,-0.0579448,-0.160147,-0.179729,-0.478208,-2.88339,-0.347695,-0.219702,0.519079,2.31062,-0.989247,-1.50431,-0.688787,-0.424229,-0.853728,-0.625047,-0.3422,-0.123542,-2.14276,-0.0574311,-0.241574,0.405252,1.71205,-0.289932,-0.639112,-0.961182,-1.29441,-0.890349,-0.827777,-0.360327,-0.272728,-0.20035,-0.680399,0.844653,-0.00572997,0.805298,0.881523,-0.067418,-0.701224,-0.358217,-0.680178,-0.571789,-0.289878,-0.293475,-1.18015,-0.940479
Positive,-0.548882,0.720177,-0.208302,-0.887919,-0.19467,-0.388879,-0.0957534,0.308476,0.759048,0.350977,-0.330311,0.480538,-1.05688,-0.102617,0.76072,0.189432,-0.0534123,-0.402819,-0.147033,-0.446616,-0.895794,-0.777384,-0.276328,-0.151522,0.348134,-0.895568,-0.241574,0.31457,0.136315,1.2505,-0.782631,-0.241553,-0.922277,-0.695031,-1.21006,-0.454064,-0.284788,-0.0842098,0.399387,1.48571,0.473573,1.29483,-0.294878,-0.410999,-0.739094,-0.173558,-0.823811,-0.722247,-0.283416,-0.132755,-0.0998619,0.959795
Positive,-0.548882,1.4446,0.362287,-1.69436,-1.15324,-0.286939,-0.454768,-0.946661,0.513897,0.183913,0.0296191,-0.00158011,-0.0504622,-0.219702,1.24196,0.400321,-1.39456,-0.732155,-0.937172,-0.419931,-0.366321,-0.190429,-0.267759,-0.233445,0.687182,0.456493,-0.241574,0.963902,-0.135641,-0.549646,-0.345724,-0.767752,-0.191155,-0.459817,-0.244995,-0.338255,-0.243798,0.424839,0.38241,-0.534372,1.74907,0.7118,-0.612556,-1.32093,-1.50638,-1.05863,-0.712957,-0.478663,-0.303221,-0.214207,-0.0440094,0.343856
Positive,-0.548882,0.0179022,-1.77043,-1.09742,0.775145,1.48123,1.338,1.32783,0.824128,0.289316,-0.386564,0.759132,2.80854,-0.219702,-1.04889,-0.875592,0.94281,1.60693,1.12699,1.0086,0.110622,-0.30155,-0.170557,-0.105897,0.581874,2.0526,-0.241574,0.471353,0.434958,0.0611819,-0.379157,-0.200567,-0.935339,-0.675777,-0.393536,-0.545889,-0.251671,0.272201,-0.294411,-0.534372,0.469928,-0.757326,-1.24634,-1.94219,-0.215925,-1.82422,-1.20996,3.48692,-0.360126,3.89199,0.332958,0.500355
Positive,0.523677,-0.552775,-0.00867417,1.30102,0.926611,-0.0325984,-0.258657,-0.582394,-0.775961,-1.84273,-0.819439,0.669916,1.57198,-0.219702,-0.761355,0.568606,1.14076,0.70021,0.120149,-0.055768,-0.244452,-0.212303,-0.474033,-0.492069,0.464585,1.99709,-0.241574,-1.31114,-0.535572,1.13472,1.28577,1.22995,1.9537,-0.0636234,-0.539324,-0.263915,-0.248547,0.724394,0.0296295,1.20245,0.187816,1.12184,1.03935,-0.324045,-0.822115,-0.523172,-0.832366,-0.967457,-0.43562,-0.413265,0.799626,0.558714
Positive,0.639513,0.539016,0.774795,-0.117101,-0.659376,-1.07158,-0.681202,-0.228415,0.589742,-0.580263,0.0133921,0.338777,0.718171,-0.168978,-0.0483071,0.534222,-0.5187,-0.0372664,0.566261,-0.131944,0.312656,-0.455056,-0.107006,-0.62176,-3.45831,0.639744,-0.241574,-0.413074,0.740373,0.487753,-0.0611771,-0.495498,0.480318,-0.231549,0.346601,-0.340834,-0.210119,-0.437346,1.06921,-0.534372,-0.508637,0.611392,0.247849,0.302004,-0.0911606,0.656893,0.41432,-0.203238,-0.254222,-0.300381,0.646224,0.95761
Positive,1.41605,-0.885794,0.0213763,1.68721,0.822771,-0.319319,-0.894287,0.00497951,1.09766,0.0020916,-0.273439,0.873423,-1.12398,-0.0858356,0.26551,0.957562,1.56582,-0.491417,-0.886277,-0.954773,-1.12763,-0.806592,-0.509558,-0.3436,0.476591,-1.33255,-0.241574,-0.184402,-0.485467,-0.334587,0.334657,0.467348,0.811807,0.784937,0.773129,0.162343,-0.22424,0.300437,-1.50896,-0.534372,-1.12362,0.605722,0.728177,0.489951,0.488914,0.918867,0.895831,-0.469444,-0.246809,-0.286721,0.695359,-1.44418
Positive,-0.548882,0.706477,2.29895,-0.884962,-1.30186,-0.907642,-1.3207,-1.71539,-1.26944,-0.603715,-0.0189073,-0.0347749,1.60014,-0.219702,-1.1503,-0.000616407,0.640322,1.04802,0.961123,0.318962,0.44037,0.110805,0.0186688,-0.195004,0.0492423,0.451795,-0.241574,0.093732,0.968255,0.55201,-0.514435,-0.456247,-0.895422,-0.600747,-0.680888,-0.510153,-0.279352,0.234156,1.58654,-0.534372,-0.846234,-1.30514,0.388828,1.2349,1.96398,1.36905,0.371996,0.00827052,-0.246505,-0.216035,0.147424,0.85488
